Talkers,Noise,F1,F2,F3
AS1,NC,448.54,1555.8,2747.089369369369
AS1,NC,530.4,1370.58,2694.031968503937
AS1,NC,537.57,1880.56,2836.1354054054054
AS1,NC,531.63,1559.22,2717.5187837837834
AS1,NC,474.59,1642.07,2704.2834999999995
AS1,NC,585.91,1885.41,2796.539104477612
AS1,NC,437.05,1678.57,2767.5944210526313
AS1,NC,509.27,1875.3,2937.5057500000003
AS1,NC,729.88,1700.02,2756.4066666666663
AS1,NC,547.58,1398.78,2793.482580645161
AS1,NC,521.58,1573.12,2731.6010169491524
AS1,NC,596.66,1437.46,2694.9
AS1,NC,477.76,1562.34,2682.788125
AS1,NC,528.62,1529.22,2698.2934482758624
AS1,NC,585.52,1590.94,2777.9115942028975
AS1,NC,498.01,1810.7,2781.007317073171
AS1,NC,577.38,1627.13,2750.2653623188407
AS1,NC,499.69,1395.47,2753.4690588235294
AS1,NC,466.04,1257.21,2624.391408450704
AS1,NC,418.05,1863.04,2681.4844554455444
AS1,NC,447.83,1466.68,2689.832913385827
AS1,NC,436.39,1505.41,2668.5167403314917
AS1,NC,429.65,1632.76,2667.63552238806
AS1,NC,485.1,1600.77,2804.051232876712
AS1,NC,469.02,1740.91,2804.710202020202
AS1,NC,520.32,1658.11,2674.232413793103
AS1,NC,547.37,1527.04,2770.849851851852
AS1,NC,465.23,1662.38,2765.037204968944
AS1,NC,494.22,1630.02,2684.544907407407
AS1,NC,496.45,1814.82,2775.9502749140893
AS1,NC,440.26,1706.43,2899.3181944444445
AS1,NC,528.59,1664.39,2666.744594594595
AS1,NC,480.18,1456.63,2684.130242424242
AS1,NC,513.03,1363.34,2674.771578947368
AS1,NC,459.64,1652.42,2777.7719444444447
AS1,NC,487.61,1372.36,2579.0159259259262
AS1,NC,416.4,1700.19,2575.734516129032
AS1,NC,473.8,1613.85,2700.3006122448983
AS1,NC,450.9,1467.26,2747.6219463087245
AS1,NC,492.6,1587.52,2733.66695035461
AS1,NC,445.06,1641.66,2665.569150326797
AS1,NC,553.13,1631.91,2755.805590909091
AS1,NC,473.05,1487.69,2768.5253012048192
AS1,NC,468.74,1522.64,2758.0119323671497
AS1,NC,509.13,1788.19,2780.576538461539
AS1,NC,513.91,1653.57,2728.8914146341463
AS1,NC,461.88,1837.58,2836.221090909091
AS1,NC,438.56,1884.3,2767.1554248366006
AS1,NC,411.17,1631.66,2720.2756896551728
AS1,NC,487.66,1600.03,2494.299663865546
AS1,NC,429.12,1761.29,2658.425100000001
AS1,NC,529.04,1707.72,2733.396439790576
AS1,NC,491.41,1610.05,2752.7308300395257
AS1,NC,550.11,1771.58,2799.801891891892
AS1,NC,579.83,1504.29,2717.1917037037038
AS1,NC,454.23,1610.84,2716.4076785714287
AS1,NC,515.38,1305.95,2767.5692753623193
AS1,NC,497.4,1517.83,2673.7290666666668
AS1,NC,456.13,1547.35,2593.598686131387
AS1,NC,540.08,1287.48,2720.3984285714287
AS1,NC,540.29,1316.93,2684.85
