Talkers,Noise,F1,F2,F3
C1,NC,415.47,1455.58,2442.3875824175825
C1,NC,469.29,1528.92,2596.799064748201
C1,NC,400.65,1260.23,2440.7494214876033
C1,NC,456.21,1493.14,2528.0973099415205
C1,NC,443.47,1327.74,2467.9308267716538
C1,NC,394.9,1443.28,2526.1650627615063
C1,NC,395.87,1633.3,2545.1228571428574
C1,NC,443.92,1505.72,2499.8509756097565
C1,NC,368.99,1289.83,2358.9134615384614
C1,NC,382.11,1610.7,2495.026768292683
C1,NC,404.82,1388.92,2450.8384716157207
C1,NC,405.0,1456.47,2396.6888333333336
C1,NC,371.44,1513.68,2543.2719411764706
C1,NC,326.32,1311.5,2333.544324324325
C1,NC,396.7,1281.22,2474.575887096774
C1,NC,368.81,1328.59,2389.597341040462
C1,NC,338.45,1240.82,2407.733668122271
C1,NC,399.36,1336.76,2481.0798701298704
C1,NC,388.55,1167.36,2292.8328985507246
C1,NC,346.22,1203.19,2309.432183908046
C1,NC,432.52,1668.17,2575.459285714286
C1,NC,463.01,1344.49,2485.6261111111116
C1,NC,403.11,1361.39,2394.6938095238097
C1,NC,388.98,1243.4,2463.145423728814
C1,NC,406.08,1621.63,2495.403076923077
C1,NC,452.45,1501.87,2567.531679389313
C1,NC,414.34,1286.35,2751.6362068965523
C1,NC,390.19,1413.07,2468.868649789029
C1,NC,380.17,1480.1,2533.1978666666664
C1,NC,369.19,1400.5,2523.3841049382713
C1,NC,361.17,1174.25,2473.6522666666665
C1,NC,379.5,1990.57,2651.6834285714285
C1,NC,408.65,1675.84,2532.518895705521
C1,NC,403.31,1280.18,2505.642588235294
C1,NC,397.28,1294.23,2457.0189690721654
C1,NC,411.4,1260.56,2517.314539249147
C1,NC,352.36,1500.24,2478.3779545454545
C1,NC,404.69,1451.84,2581.033048128342
C1,NC,372.01,1132.09,2463.1110810810806
C1,NC,428.22,1272.31,2465.074382022472
C1,NC,359.3,1209.23,2531.067298136646
C1,NC,411.73,1356.32,2541.7408737864084
C1,NC,497.39,1243.78,2429.9005714285713
C1,NC,455.3,1476.4,2485.225333333333
C1,NC,392.0,1472.92,2531.1097959183676
C1,NC,416.8,1322.61,2499.5225118483413
C1,NC,397.91,1406.39,2505.8228834355828
C1,NC,403.95,1286.34,2526.198277027027
C1,NC,410.33,1448.2,2457.235428571428
C1,NC,370.31,1234.95,2501.162888888889
C1,NC,404.97,1285.71,2529.5302453987733
C1,NC,394.73,1388.99,2539.3302464788735
C1,NC,389.03,1373.24,2534.8096052631577
C1,NC,431.79,1421.44,2465.8435294117644
C1,NC,418.66,1327.3,2515.139237668161
C1,NC,395.7,1184.64,2496.7400254452928
C1,NC,376.89,1362.11,2534.654645669291
C1,NC,387.61,1268.82,2409.5778888888885
C1,NC,411.14,1379.7,2554.1664473684214
C1,NC,427.59,1274.93,2450.0750000000003
C1,NC,357.48,1399.94,2489.9489247311835
C1,NC,385.08,1371.51,2494.701967213115
C1,NC,391.4,1142.72,2419.98128440367
C1,NC,411.99,1513.9,2528.887401574804
C1,NC,386.15,1525.79,2596.546
C1,NC,396.22,1162.91,2470.754956521739
C1,NC,401.43,1380.44,2467.6964705882356
C1,NC,380.32,1386.45,2455.1668493150687
C1,NC,405.6,1539.16,2595.491927083333
C1,NC,440.95,1400.52,2532.212864321608
C1,NC,369.46,1425.53,2597.8417821782173
C1,NC,397.88,1307.86,2452.2206493506496
C1,NC,387.45,1447.41,2535.920355555556
C1,NC,385.67,1305.23,2473.602321428571
C1,NC,382.44,1410.44,2443.94053030303
C1,NC,394.52,1222.3,2561.9060000000004
C1,NC,437.42,1358.46,2584.2830379746833
C1,NC,425.95,1517.19,2581.2571612903225
C1,NC,400.83,1003.59,2471.1531428571425
C1,NC,409.65,1246.58,2401.11609375
C1,NC,401.72,1318.8,2550.7841025641023
C1,NC,400.18,1311.32,2491.979351351351
C1,NC,351.47,1263.88,2518.5053393665157
C1,NC,393.36,1589.86,2608.8536453201973
C1,NC,410.85,1357.81,2565.7155782312925
C1,NC,429.05,1222.47,2568.905971223022
C1,NC,415.35,1346.41,2493.065083798883
C1,NC,411.45,1486.73,2595.7580000000003
C1,NC,357.46,1436.98,2547.512643678161
C1,NC,433.63,1250.41,2512.0699999999997
C1,NC,462.46,1028.91,2350.725
C1,NC,308.84,1231.99,2530.418913043478
C1,NC,415.15,1313.61,2472.013980099503
C1,NC,375.46,1315.72,2526.5551127819544
C1,NC,402.87,1160.0,2552.455588235294
C1,NC,388.58,1491.77,2611.169793814433
C1,NC,412.54,1353.19,2630.862585034014
C1,NC,402.97,1360.01,2643.420990990991
C1,NC,404.29,1259.36,2525.334215384615
C1,NC,424.2,1335.87,2437.4051960784313
C1,NC,403.86,1676.92,2622.1160714285716
C1,NC,409.46,1668.62,2646.8025641025642
