Talker,Noise,f0_median
AS1,NC,206.58
AS1,NC,222.94
AS1,NC,190.56
AS1,NC,217.24
AS1,NC,215.46
AS1,NC,196.46
AS1,NC,217.7
AS1,NC,255.64
AS1,NC,191.37
AS1,NC,204.4
AS1,NC,234.29
AS1,NC,179.84
AS1,NC,222.75
AS1,NC,213.27
AS1,NC,195.98
AS1,NC,213.98
AS1,NC,210.07
AS1,NC,208.68
AS1,NC,203.96
AS1,NC,195.56
AS1,NC,201.34
AS1,NC,185.27
AS1,NC,206.98
AS1,NC,192.82
AS1,NC,210.06
AS1,NC,180.0
AS1,NC,213.29
AS1,NC,212.07
AS1,NC,189.4
AS1,NC,209.17
AS1,NC,189.64
AS1,NC,187.87
AS1,NC,205.52
AS1,NC,214.65
AS1,NC,189.78
AS1,NC,208.9
AS1,NC,191.49
AS1,NC,224.15
AS1,NC,215.18
AS1,NC,192.03
AS1,NC,214.62
AS1,NC,192.87
AS1,NC,202.03
AS1,NC,205.6
AS1,NC,195.73
AS1,NC,203.19
AS1,NC,181.74
AS1,NC,213.12
AS1,NC,196.82
AS1,NC,184.32
AS1,NC,215.29
AS1,NC,211.41
AS1,NC,205.7
AS1,NC,188.54
AS1,NC,194.07
AS1,NC,200.53
AS1,NC,210.04
AS1,NC,188.66
AS1,NC,204.7
AS1,NC,194.72
AS1,NC,204.3
AS1,NC,204.24
AS1,NC,230.12
AS1,NC,200.78
AS1,NC,223.1
AS1,NC,191.34
AS1,NC,204.0
AS1,NC,205.18
AS1,NC,209.0
AS1,NC,206.0
AS1,NC,209.48
AS1,NC,210.77
AS1,NC,201.09
AS1,NC,187.02
AS1,NC,185.36
AS1,NC,201.93
AS1,NC,205.22
AS1,NC,188.62
AS1,NC,222.12
AS1,NC,190.16
AS1,NC,224.59
AS1,NC,201.29
AS1,NC,217.73
AS1,NC,187.36
AS1,NC,208.76
AS1,NC,209.32
AS1,NC,197.66
AS1,NC,223.48
AS1,NC,213.61
AS1,NC,194.74
AS1,NC,219.37
AS1,NC,221.49
AS1,NC,217.66
AS1,NC,228.83
AS1,NC,219.4
AS1,NC,210.59
AS1,NC,220.44
AS1,NC,214.7
AS1,NC,205.59
AS1,NC,217.13
AS1,NC,209.5
AS1,NC,227.68
AS1,NC,209.6
AS1,NC,240.84
AS1,NC,225.98
AS1,NC,197.59
AS1,NC,209.33
AS1,NC,217.0
AS1,NC,198.83
AS1,NC,205.12
AS1,NC,216.58
AS1,NC,218.3
AS1,NC,217.74
AS1,NC,241.15
AS1,NC,207.26
AS1,NC,236.68
AS1,NC,213.6
AS1,NC,192.48
AS1,NC,227.62
AS1,NC,203.68
AS1,NC,192.0
AS1,NC,212.14
AS1,NC,210.4
AS1,NC,193.03
AS1,NC,200.17
AS1,NC,214.59
AS1,NC,180.86
AS1,NC,204.02
AS1,NC,199.75
AS1,NC,211.98
AS1,NC,218.21
AS1,NC,204.15
AS1,NC,258.56
AS1,NC,192.56
AS1,NC,206.69
AS1,NC,211.55
AS1,NC,200.57
AS1,NC,203.89
AS1,NC,220.09
AS1,NC,210.07
AS1,NC,189.77
AS1,NC,183.95
AS1,NC,208.44
AS1,NC,201.27
AS1,NC,198.07
AS2,NC,125.52
AS2,NC,124.08
AS2,NC,134.39
AS2,NC,137.68
AS2,NC,146.49
AS2,NC,128.34
AS2,NC,125.6
AS2,NC,135.62
AS2,NC,130.52
AS2,NC,147.0
AS2,NC,138.12
AS2,NC,124.71
AS2,NC,112.86
AS2,NC,127.09
AS2,NC,114.99
AS2,NC,163.28
AS2,NC,120.79
AS2,NC,133.97
AS2,NC,158.24
AS2,NC,160.97
AS2,NC,136.15
AS2,NC,143.93
AS2,NC,116.01
AS2,NC,128.33
AS2,NC,125.96
AS2,NC,115.08
AS2,NC,127.02
AS2,NC,129.93
AS2,NC,114.71
AS2,NC,138.64
AS2,NC,118.65
AS2,NC,129.8
AS2,NC,127.08
AS2,NC,128.44
AS2,NC,115.93
AS2,NC,123.01
AS2,NC,114.31
AS2,NC,164.95
AS2,NC,120.21
AS2,NC,134.0
AS2,NC,132.82
AS2,NC,114.1
AS2,NC,155.51
AS2,NC,137.09
AS2,NC,122.44
AS2,NC,121.5
AS2,NC,135.31
AS2,NC,131.7
AS2,NC,134.09
AS2,NC,115.76
AS2,NC,129.34
AS2,NC,130.49
AS2,NC,127.55
AS2,NC,133.59
AS2,NC,129.05
AS2,NC,122.93
AS2,NC,127.1
AS2,NC,131.46
AS2,NC,141.44
AS2,NC,133.86
AS2,NC,126.07
AS2,NC,123.0
AS2,NC,121.56
AS2,NC,119.58
AS2,NC,125.91
AS2,NC,127.73
AS2,NC,121.59
AS2,NC,163.94
AS2,NC,128.07
AS2,NC,124.53
AS2,NC,124.59
AS2,NC,131.89
AS2,NC,131.48
AS2,NC,163.8
AS2,NC,123.72
AS2,NC,139.81
AS2,NC,123.16
AS2,NC,138.54
AS2,NC,159.37
AS2,NC,137.23
AS2,NC,137.78
AS2,NC,121.34
AS2,NC,120.72
AS2,NC,119.7
AS2,NC,126.2
AS2,NC,123.9
AS2,NC,167.16
AS2,NC,125.78
AS2,NC,123.84
AS2,NC,126.81
AS2,NC,147.1
AS2,NC,134.56
AS2,NC,123.37
AS2,NC,109.1
AS2,NC,154.89
AS2,NC,125.9
AS2,NC,131.3
AS2,NC,127.63
AS2,NC,121.57
AS2,NC,115.09
AS2,NC,133.12
AS2,NC,124.77
AS2,NC,111.84
AS2,NC,131.16
AS2,NC,122.32
AS2,NC,180.22
AS2,NC,128.79
AS2,NC,129.86
AS2,NC,133.27
AS2,NC,180.42
AS2,NC,134.62
AS2,NC,132.93
AS2,NC,142.51
AS2,NC,125.58
AS2,NC,120.57
AS2,NC,115.94
AS2,NC,122.26
AS2,NC,131.78
AS2,NC,133.08
AS2,NC,130.22
AS3,NC,175.61
AS3,NC,193.5
AS3,NC,198.08
AS3,NC,196.2
AS3,NC,205.9
AS3,NC,195.89
AS3,NC,204.38
AS3,NC,203.6
AS3,NC,178.12
AS3,NC,183.84
AS3,NC,179.33
AS3,NC,191.7
AS3,NC,194.56
AS3,NC,178.1
AS3,NC,195.52
AS3,NC,182.4
AS3,NC,164.76
AS3,NC,196.63
AS3,NC,179.53
AS3,NC,178.09
AS3,NC,200.31
AS3,NC,87.37
AS3,NC,192.98
AS3,NC,187.78
AS3,NC,196.25
AS3,NC,200.08
AS3,NC,176.24
AS3,NC,183.44
AS3,NC,179.7
AS3,NC,173.1
AS3,NC,170.74
AS3,NC,125.26
AS3,NC,157.73
AS3,NC,154.8
AS3,NC,201.5
AS3,NC,213.92
AS3,NC,216.12
AS3,NC,203.43
AS3,NC,184.71
AS3,NC,173.18
AS3,NC,197.21
AS3,NC,167.88
AS3,NC,183.66
AS3,NC,195.14
AS3,NC,173.95
AS3,NC,183.51
AS3,NC,195.42
AS3,NC,215.95
AS3,NC,189.53
AS3,NC,167.57
AS3,NC,218.07
AS3,NC,192.18
AS3,NC,162.02
AS3,NC,178.13
AS3,NC,171.3
AS3,NC,182.3
AS3,NC,181.92
AS3,NC,164.05
AS3,NC,185.21
