Talker,Noise,f0_median
C1,Conv,146.01
C1,Conv,163.53
C1,Conv,153.46
C1,Conv,160.76
C1,Conv,163.21
C1,Conv,157.44
C1,Conv,144.34
C1,Conv,153.66
C1,Conv,155.77
C1,Conv,149.91
C1,Conv,151.73
C1,Conv,144.88
C1,Conv,165.14
C1,Conv,138.15
C1,Conv,149.98
C1,Conv,144.82
C1,Conv,135.3
C1,Conv,151.8
C1,Conv,143.21
C1,Conv,143.68
C1,Conv,150.63
C1,Conv,159.49
C1,Conv,147.34
C1,Conv,163.1
C1,Conv,141.88
C1,Conv,159.08
C1,Conv,156.27
C1,Conv,155.45
C1,Conv,150.27
C1,Conv,150.48
C1,Conv,155.66
C1,Conv,193.81
C1,Conv,153.44
C1,Conv,160.32
C1,Conv,169.64
C1,Conv,164.15
C1,Conv,143.64
C1,Conv,156.21
C1,Conv,160.32
C1,Conv,163.87
C1,Conv,155.24
C1,Conv,154.66
C1,Conv,153.59
C1,Conv,149.92
C1,Conv,154.28
C1,Conv,164.48
C1,Conv,154.91
C1,Conv,162.7
C1,Conv,134.22
C1,Conv,158.13
C1,Conv,158.19
C1,Conv,164.38
C1,Conv,170.94
C1,Conv,155.24
C1,Conv,156.7
C1,Conv,167.03
C1,Conv,164.07
C1,Conv,158.56
C1,Conv,167.46
C1,Conv,171.96
C1,Conv,145.68
C1,Conv,165.87
C1,Conv,155.22
C1,Conv,167.34
C1,Conv,164.36
C1,Conv,156.04
C1,Conv,162.2
C1,Conv,158.86
C1,Conv,156.64
C1,Conv,167.09
C1,Conv,180.54
C1,Conv,161.96
C1,Conv,157.54
C1,Conv,153.64
C1,Conv,165.86
C1,Conv,167.98
C1,Conv,165.91
C1,Conv,158.75
C1,Conv,158.52
C1,Conv,140.18
C1,Conv,167.99
C1,Conv,169.8
C1,Conv,163.38
C1,Conv,166.82
C1,Conv,167.34
C1,Conv,158.49
C1,Conv,154.42
C1,Conv,163.85
C1,Conv,149.14
C1,Conv,165.76
C1,Conv,153.86
C1,Conv,146.32
C1,Conv,159.13
C1,Conv,163.11
C1,Conv,157.34
C1,Conv,163.33
C1,Conv,152.67
C1,Conv,158.68
C1,Conv,166.8
C1,Conv,160.7
C1,Conv,163.76
C1,Conv,162.74
C1,Conv,161.74
C1,Conv,186.93
C1,Conv,160.74
C1,Conv,157.84
C1,Conv,159.23
C1,Conv,158.46
C1,Conv,153.96
C1,Conv,167.33
C1,Conv,157.46
C1,Conv,157.73
C1,Conv,160.15
C1,Conv,138.02
C1,Conv,159.66
C1,Conv,159.83
C1,Conv,176.67
C1,Conv,159.89
C1,Conv,162.61
C1,Conv,136.14
C2,Conv,102.46
C2,Conv,111.86
C2,Conv,111.56
C2,Conv,117.98
C2,Conv,113.08
C2,Conv,104.25
C2,Conv,120.39
C2,Conv,119.12
C2,Conv,115.69
C2,Conv,133.24
C2,Conv,117.29
C2,Conv,105.95
C2,Conv,103.08
C2,Conv,112.21
C2,Conv,109.4
C2,Conv,110.59
C2,Conv,115.38
C2,Conv,108.78
C2,Conv,105.08
C2,Conv,115.67
C2,Conv,110.82
C2,Conv,118.55
C2,Conv,117.15
C2,Conv,106.58
C2,Conv,108.95
C2,Conv,109.44
C2,Conv,118.62
C2,Conv,125.44
C2,Conv,133.53
C2,Conv,128.24
C2,Conv,117.38
C2,Conv,123.7
C2,Conv,121.62
C2,Conv,107.19
C2,Conv,124.79
C2,Conv,121.01
C2,Conv,99.37
C2,Conv,106.83
C2,Conv,127.18
C2,Conv,126.41
C2,Conv,109.84
C2,Conv,104.49
C2,Conv,112.12
C2,Conv,113.44
C2,Conv,102.35
C2,Conv,114.0
C2,Conv,115.35
C2,Conv,108.66
C2,Conv,112.74
C2,Conv,115.68
C2,Conv,111.04
C2,Conv,109.24
C2,Conv,109.36
C2,Conv,97.16
C2,Conv,115.51
C2,Conv,101.9
C2,Conv,117.41
C2,Conv,108.29
C2,Conv,102.09
C2,Conv,101.22
C2,Conv,110.49
C2,Conv,101.1
C2,Conv,111.4
C2,Conv,118.69
C2,Conv,141.83
C2,Conv,111.8
C2,Conv,106.9
C2,Conv,112.97
C2,Conv,120.33
C2,Conv,103.46
C2,Conv,114.48
C2,Conv,101.54
C2,Conv,110.95
C2,Conv,128.54
C2,Conv,102.2
C2,Conv,106.94
C2,Conv,143.3
C2,Conv,105.54
C2,Conv,140.13
C2,Conv,130.65
C2,Conv,110.5
C2,Conv,109.53
C2,Conv,116.89
C2,Conv,111.11
C2,Conv,105.34
C2,Conv,101.26
C2,Conv,106.2
C2,Conv,116.72
C2,Conv,107.5
C2,Conv,103.04
C2,Conv,113.38
C2,Conv,100.34
C2,Conv,107.92
C2,Conv,114.1
C2,Conv,109.89
C2,Conv,112.38
C2,Conv,116.06
C2,Conv,116.84
C2,Conv,99.55
C2,Conv,118.25
C2,Conv,122.11
C2,Conv,111.23
C2,Conv,107.91
C2,Conv,106.7
C2,Conv,109.23
C2,Conv,160.97
C2,Conv,127.66
C2,Conv,126.07
C2,Conv,102.84
C2,Conv,101.51
C2,Conv,120.6
C2,Conv,111.08
C2,Conv,104.63
C2,Conv,107.71
C2,Conv,108.78
C2,Conv,122.91
C2,Conv,113.65
C2,Conv,113.06
