Talker,Noise,Rate
C1,NC,6.27255756067206
C1,NC,5.4646162996741054
C1,NC,6.10738255033557
C1,NC,6.317825292790373
C1,NC,6.214768883878241
C1,NC,6.086276468500677
C1,NC,4.24773646696205
C1,NC,5.161516853932584
C1,NC,6.2143310082435
C1,NC,6.878936182658373
C1,NC,5.581418383518225
C1,NC,3.779568049365787
C1,NC,6.748536669344657
C1,NC,5.085723072191897
C1,NC,5.203744493392071
C1,NC,5.084745762711865
C1,NC,4.9221641308817485
C1,NC,4.769243247627545
C1,NC,4.760259925303858
C1,NC,6.310818546078992
C1,NC,6.439836448598131
C1,NC,6.035898639136556
C1,NC,5.555755525160175
C1,NC,5.054110250658983
C1,NC,7.94758251377375
C1,NC,6.41025641025641
C1,NC,6.004697552507063
C1,NC,5.706832670408107
C1,NC,5.9523809523809526
C1,NC,5.672171631424603
C1,NC,5.713637909534066
C1,NC,6.254727685325265
C1,NC,5.224261422661248
C1,NC,5.934484217001808
C1,NC,5.4412775633229336
C1,NC,5.509400961958898
C1,NC,5.931747434764229
C1,NC,6.507880290419692
C1,NC,5.990663900414938
C1,NC,4.933768907186968
C1,NC,5.356709045266823
C1,NC,6.350714995463775
C1,NC,6.756342689055031
C1,NC,6.520239190432382
C1,NC,5.887326450694197
C1,NC,7.335072484067512
C1,NC,4.988476167583389
C1,NC,5.000539956803456
C1,NC,5.486712451478053
C1,NC,8.178083364240678
C1,NC,5.904721099001152
C1,NC,6.783571758191048
C1,NC,5.025927403270841
C1,NC,4.63945414650275
C1,NC,6.230666270077335
C1,NC,6.614779507349756
C1,NC,6.10141351719049
C1,NC,6.10803324099723
C1,NC,6.7577921480891225
C1,NC,6.792677023280376
C1,NC,5.928330004609004
C1,NC,5.261023096010689
C1,NC,4.402829677382548
C1,NC,5.807216223334211
C1,NC,7.08230324502151
C1,NC,7.190714772760961
C1,NC,7.07281308710993
C1,NC,5.470106673282064
C1,NC,5.90302178496135
C1,NC,5.035971223021583
C1,NC,7.312826465467208
C1,NC,5.940339447968456
C1,NC,5.217562771131852
C1,NC,4.366048445647152
C1,NC,4.887051402267496
C1,NC,4.904965520650536
C1,NC,7.015590200445434
C1,NC,6.091020004143551
C1,NC,6.384210780292429
C1,NC,5.009086778736938
C1,NC,6.990198927429795
C1,NC,7.0531787285085965
C1,NC,5.426642759202616
C1,NC,5.03209242618742
C1,NC,5.925925925925926
C1,NC,5.882171878847575
C1,NC,5.881045519203415
C1,NC,6.572525056820299
C1,NC,5.667571040982436
C1,NC,5.485179586291356
C1,NC,7.2822347598734
C1,NC,7.453353163872364
C1,NC,6.451907866463063
C1,NC,6.248406018872736
C1,NC,5.74577861163227
C1,NC,6.399001697694328
C1,NC,5.746907516189178
C1,NC,5.689670002006938
C1,NC,5.69162190872358
C1,NC,5.972858032884579
C1,NC,6.197417976728063
C1,NC,5.634522630721564
C1,NC,5.764287270350738
C1,NC,4.936475065763698
C1,NC,5.493615696044846
C1,NC,6.083807553026384
C1,NC,6.795069337442219
C1,NC,5.776220570418154
C1,NC,5.214615111741752
C1,NC,6.530154633723266
C1,NC,6.213795910699189
C1,NC,6.44713278023464
C1,NC,5.506219468418835
C1,NC,6.861829821285675
C1,NC,8.192762131232815
C1,NC,6.138540899042004
C1,NC,5.404853337690988
C1,NC,6.225955599477641
C1,NC,7.332446567308564
C1,NC,5.50630540641778
C2,NC,4.979253112033195
C2,NC,7.539105906487734
C2,NC,6.238408097827795
C2,NC,6.326662362814719
C2,NC,7.764084507042254
C2,NC,5.470559047304003
C2,NC,5.902155784792143
C2,NC,5.127419167309664
C2,NC,5.0764342941338985
C2,NC,4.335714753883464
C2,NC,4.628949301983836
C2,NC,4.49698452932436
C2,NC,5.080352514256092
C2,NC,5.43853591160221
C2,NC,6.393389148635424
C2,NC,6.247520825069417
C2,NC,6.15234375
C2,NC,5.783714917375502
C2,NC,4.937027707808564
C2,NC,5.618430831298439
C2,NC,5.157653443113772
C2,NC,5.523731587561375
C2,NC,5.667287797982395
C2,NC,5.45859636093576
C2,NC,4.712769241729797
C2,NC,6.620130601215942
C2,NC,5.158015392172916
C2,NC,7.542627091885065
C2,NC,7.645631067961165
C2,NC,6.13835660928873
C2,NC,5.4719166184134345
C2,NC,6.257686122410369
C2,NC,5.278023792996146
C2,NC,5.464923023093072
C2,NC,7.052204631689127
C2,NC,6.528794797918256
C2,NC,5.402251421645111
C2,NC,5.5893536121673
C2,NC,6.717645625152327
C2,NC,6.248228960045339
C2,NC,6.391206846577474
C2,NC,6.913381547594163
C2,NC,5.10662177328844
C2,NC,9.125239253013294
C2,NC,7.431498769842607
C2,NC,6.675593851886353
C2,NC,5.6362755781571625
C2,NC,6.059523482371046
C2,NC,5.8827096116999344
C2,NC,5.983717774762551
C2,NC,5.715211404503483
C2,NC,6.555963548248026
C2,NC,5.175651357483765
C2,NC,7.35
C2,NC,5.036135536812568
C2,NC,5.905063714878708
C2,NC,6.369259001240379
C2,NC,6.9531551101923545
C2,NC,4.905207998615814
C2,NC,8.005566985356408
C2,NC,6.269369651133036
C2,NC,6.375534908824551
C2,NC,5.871253856324372
C2,NC,7.576343254735215
C2,NC,5.459272097053726
C2,NC,5.735466250487709
C2,NC,5.183008730691739
C2,NC,6.298282286649095
C2,NC,5.136054704722608
C2,NC,4.350828729281768
C2,NC,6.61284212520125
C2,NC,6.15234375
C2,NC,6.810109641220981
C2,NC,6.669019054340156
C2,NC,5.289219381810705
C2,NC,6.147250147841515
C2,NC,4.759677651460642
C2,NC,5.272208938752988
C2,NC,5.805992943282954
C2,NC,6.370684258679637
C2,NC,5.901069001917959
C2,NC,6.8833114815508525
C2,NC,6.9850129989295
C2,NC,4.45859872611465
C2,NC,6.078845800404338
C2,NC,4.348469161366662
C2,NC,6.863910348926055
C2,NC,3.511929411015194
C2,NC,4.9386310697007705
C2,NC,4.459410265744449
C2,NC,5.61711883836454
C2,NC,4.636248948696384
C2,NC,5.683592861583249
C2,NC,5.946334666726595
C2,NC,6.668481219379423
C2,NC,6.906040268456375
C2,NC,5.957079427725703
C2,NC,6.193820224719101
C2,NC,7.914099419752348
C2,NC,5.1341282582321295
C2,NC,6.187061574434917
C2,NC,5.643716406449961
C2,NC,8.310719131614654
C2,NC,5.704201929117854
C2,NC,6.036960985626283
